epoch,train_loss,train_same_layer_similarity,train_diff_layer_similarity,train_similarity_gap,val_loss,val_same_layer_similarity,val_diff_layer_similarity,val_similarity_gap,negative_margin_violation_rate
18,0.291886727437377,0.8653687608242034,0.572179883569479,0.2931888772547244,0.32662564516067505,0.8601318597793579,0.5887969732284546,0.2713348865509033,0.9275
19,0.28630121529102326,0.8693544954061508,0.5604442135989666,0.3089102818071843,0.32355523109436035,0.8631787896156311,0.5914558172225952,0.2717229723930359,0.9265625
20,0.28317143887281415,0.8705004137754441,0.5519797000288963,0.3185207137465478,0.3248208165168762,0.8570371866226196,0.5789961814880371,0.2780410051345825,0.92765625
21,0.27995841912925246,0.8728387129306793,0.544883437603712,0.3279552753269672,0.3281489312648773,0.8569644689559937,0.5616226196289062,0.2953418493270874,0.89703125
22,0.2719956609606743,0.8752514570951462,0.5261019419133663,0.34914951518177983,0.34436720609664917,0.8409038782119751,0.5167455673217773,0.32415831089019775,0.85328125
23,0.2733376301825047,0.8774682068824768,0.5265413148701191,0.3509268920123577,0.3232555687427521,0.85860276222229,0.5470216274261475,0.3115811347961426,0.88703125
24,0.2663282082974911,0.8782837337255478,0.510375476628542,0.3679082570970058,0.33064553141593933,0.8575832843780518,0.5535354018211365,0.3040478825569153,0.8825
25,0.26450798749923704,0.879294918179512,0.5047538962960243,0.3745410218834877,0.31929853558540344,0.8665428757667542,0.5653325915336609,0.30121028423309326,0.90328125
26,0.2612698897719383,0.8807833585143089,0.49549738079309463,0.38528597772121426,0.3264612853527069,0.8532713055610657,0.5119132995605469,0.3413580060005188,0.84890625
27,0.2590159288048744,0.8840747964382172,0.48943367883563044,0.39464111760258674,0.3288876414299011,0.8542112708091736,0.5119583606719971,0.3422529101371765,0.846875
28,0.25388526655733584,0.884743909239769,0.4771078088879585,0.40763610035181047,0.3271503448486328,0.8517570495605469,0.5004101991653442,0.35134685039520264,0.836875
29,0.2534086839854717,0.8842596179246902,0.47523495480418204,0.40902466312050817,0.32714760303497314,0.8555213212966919,0.5141739845275879,0.341347336769104,0.84828125
30,0.24960410200059413,0.8872768810391426,0.46483398482203486,0.42244289621710773,0.32930997014045715,0.8542226552963257,0.4865705966949463,0.3676520586013794,0.81453125
31,0.24731223344802855,0.8874420368671417,0.45345944687724116,0.4339825899899006,0.3361087143421173,0.8480205535888672,0.49306145310401917,0.354959100484848,0.82828125
32,0.2463443794846535,0.8891169145703316,0.45101647183299065,0.43810044273734094,0.3315146565437317,0.8466804623603821,0.48269516229629517,0.3639853000640869,0.82390625
33,0.23986706487834453,0.8895904487371444,0.43650650754570963,0.4530839411914348,0.32590702176094055,0.8528826832771301,0.4815758466720581,0.371306836605072,0.81796875
34,0.240255049392581,0.89093410551548,0.4367561024427414,0.45417800307273865,0.32205116748809814,0.8582870364189148,0.5032407641410828,0.35504627227783203,0.84125
35,0.24015123009681702,0.8911879217624664,0.43626959443092345,0.45491832733154297,0.3251360058784485,0.8481294512748718,0.47879108786582947,0.36933836340904236,0.8225
36,0.23832917757332325,0.8926807257533074,0.4309941676259041,0.4616865581274033,0.318435400724411,0.8652468323707581,0.5093173384666443,0.35592949390411377,0.84
37,0.23139842562377452,0.8940023747086525,0.411616443246603,0.4823859314620495,0.3267890214920044,0.8503872156143188,0.47286880016326904,0.3775184154510498,0.81234375
38,0.23258272208273412,0.8941981101036072,0.4158679151535034,0.47833019495010376,0.33363068103790283,0.8470066785812378,0.45860061049461365,0.38840606808662415,0.8003125
39,0.2300200368463993,0.8946767801046371,0.40337372094392776,0.4913030591607094,0.3501328229904175,0.8355740904808044,0.4203518033027649,0.41522228717803955,0.76390625
