all_alive_fraction,arm,attn_ari,attn_input,attn_nmi,cross_nmse_gene_to_image,cross_nmse_image_to_gene,elapsed_seconds,section_id,self_nmse_gene,self_nmse_image,sum_ari,sum_nmi,support_ari,support_nmi
0.9970703125,c_mlp_encoder,,,,0.1580934775993228,0.9237558431923389,37.11119374999544,151672,0.9036910608410835,0.22246563248336315,0.040453270064990145,0.14072604966168495,0.1091118847310699,0.1880945294548148
0.9990234375,c_mlp_encoder,,,,0.17119022409121196,0.9061578869819641,31.463876167021226,151673,0.8886955261230469,0.2358123282591502,0.18672130405726073,0.3521626989211106,0.2886389434645052,0.4400858585057118
0.998046875,c_mlp_encoder,,,,0.15146469473838806,0.9055716713269552,31.810119165980723,151674,0.8866615891456604,0.21836567521095276,0.27890971680020166,0.4218224198641256,0.2783876531550003,0.3794822116679138
0.9990234375,c_mlp_encoder,,,,0.14728532518659318,0.9007999513830457,30.13175574998604,151675,0.8812489679881504,0.21599755649055755,0.18715059758632777,0.37487840636313424,0.31870155771045844,0.39945124994223297
1.0,c_mlp_encoder,,,,0.1441300596509661,0.9031776785850525,27.667801917006727,151676,0.88422001685415,0.2107078262737819,0.188188105811561,0.3562524150263884,0.2341828456847759,0.3708994246455322
1.0,d_spatial_topk,,,,0.1609246362658108,0.9304897364448098,54.30104033299722,151507,0.8824542129740995,0.22615463242811315,0.20741079440046523,0.39006179611118974,0.35412177702718745,0.4795813002295204
1.0,d_spatial_topk,,,,0.15337343431181377,0.9378447863790724,59.26060087495716,151508,0.8946717083454132,0.20212909330924353,0.22709742180124795,0.36122975404571916,0.3283465034661941,0.47409438094561823
1.0,d_spatial_topk,,,,0.16540125012397766,0.9305585936496132,59.22730437503196,151509,0.8839709476420754,0.2241643698591935,0.27764355249816086,0.4361562323030944,0.3618473370614612,0.5255304397418267
1.0,d_spatial_topk,,,,0.1530564402540525,0.9302473366260529,55.36638637498254,151510,0.8839171131451925,0.21733858436346054,0.2157037463662427,0.40355845572318777,0.2818398725494797,0.4494513120151303
1.0,d_spatial_topk,,,,0.16592776377995808,0.933151920636495,45.255925208039116,151669,0.8879351178805034,0.2158061812321345,0.01977972003438731,0.0042681712943914195,0.2189702201878377,0.4037658749376356
1.0,d_spatial_topk,,,,0.1663877165743283,0.9299605361052922,42.02394283399917,151670,0.8819100643907275,0.2158344920192446,0.018422270196959075,0.06303831780595855,0.33273229511054947,0.43067808373137517
1.0,d_spatial_topk,,,,0.1602109894156456,0.9339890331029892,48.97739295801148,151671,0.8858991637825966,0.20848514791578054,0.044955673200128124,0.19698610815689313,0.1466091490870087,0.28842091379913737
1.0,d_spatial_topk,,,,0.18212619796395302,0.9292467534542084,46.852954209025484,151672,0.8796189352869987,0.2559028649702668,0.0930288426568488,0.18871110665548665,0.23723354041302483,0.3936560012419913
1.0,d_spatial_topk,,,,0.16269740064938862,0.9131448904673258,44.91079895797884,151673,0.8673805395762125,0.2249488244454066,0.1855514949925073,0.3842523703038922,0.35876297946062385,0.5548094634805555
1.0,d_spatial_topk,,,,0.14929674665133158,0.9131317655245463,44.213772875024006,151674,0.8665890574455262,0.2101957549651464,0.06441816760455327,0.22077006223715845,0.30735696016175157,0.45537478636643836
1.0,d_spatial_topk,,,,0.17456997824566706,0.9101131047521319,43.256944875000045,151675,0.8579198590346745,0.2585846015385219,0.18565241619608944,0.37615949916806146,0.28711066844959904,0.49483477871643
1.0,d_spatial_topk,,,,0.15869141689368657,0.9146115098680768,41.37510212499183,151676,0.8637359440326691,0.23095058436904634,0.16762843349759954,0.3268957264785318,0.31996129745673063,0.4472587322063176
1.0,e_spatial_plus_attention,0.40081793818090156,support,0.5180796937788482,0.1609246362658108,0.9304897364448098,80.50307916698512,151507,0.8824542129740995,0.22615463242811315,0.20741079440046523,0.39006179611118974,0.35412177702718745,0.4795813002295204
1.0,e_spatial_plus_attention,0.32637499706862877,support,0.4760076261658957,0.15337343431181377,0.9378447863790724,92.19765904097585,151508,0.8946717083454132,0.20212909330924353,0.22709742180124795,0.36122975404571916,0.3283465034661941,0.47409438094561823
1.0,e_spatial_plus_attention,0.4963289122624234,support,0.5279630246294251,0.16540125012397766,0.9305585936496132,107.3062667499762,151509,0.8839709476420754,0.2241643698591935,0.27764355249816086,0.4361562323030944,0.3618473370614612,0.5255304397418267
