ari,batch_size,elapsed_seconds,epochs,nmi,section_id,self_nmse_gene,stage1_sum_ari,stage1_sum_nmi,stage1_support_ari,stage1_support_nmi,stage2_input
0.28993916856026064,32,118.71310066711158,50,0.4564934749368152,151676,0.8269861417788046,0.1360687541608317,0.315633699984188,0.2398123495614688,0.4022134310906256,support
0.38164318296444205,64,100.55765525007155,50,0.5030847762917611,151507,0.8567168125600526,0.014066040655675932,0.05734060825575316,0.27048931648111973,0.48248691317841946,support
0.4908272319639185,64,96.51944429089781,50,0.5492680199681961,151508,0.8657997630644536,0.23730099347295722,0.3777478066391357,0.4339430911379422,0.5225712762831308,support
0.4679487224247669,64,115.0908024579985,50,0.575329529843559,151509,0.8650352803866068,0.035429360675208535,0.12420774081935167,0.26105962576466035,0.48447412529174105,support
0.46868426203252866,64,109.6566129999701,50,0.5078913851180857,151510,0.8619657556215922,0.029426959239440643,0.10758317411694805,0.3376751187046769,0.47798597826953027,support
0.34310504082540677,64,83.56775104207918,50,0.4657415483548655,151669,0.8539127822507891,0.01738975920580427,0.004182987331964067,0.29719946975264117,0.422931057099119,support
0.32382104637127407,64,79.47808237501886,50,0.3754675379092918,151670,0.8508717742833224,0.00981285942001324,0.017656946460894215,0.2717284388424134,0.3429588090964913,support
0.3451053138746126,64,94.08930362504907,50,0.4669005853692668,151671,0.8617538725957274,-0.037324112059334065,0.02206243258697171,0.2643287513989388,0.3617894880672274,support
0.32405994313086517,64,88.112378916936,50,0.4426969478000468,151672,0.8440800573005051,0.09213814281157504,0.23789792094156034,0.23737452542641335,0.37546575111015035,support
0.30636179777984596,64,81.72691470896825,50,0.472902840517323,151673,0.8253349118065416,0.17285362366061738,0.3981187074416115,0.4562071448999154,0.6112731269598491,support
0.3706578493331386,64,83.55249254102819,50,0.49089898226323025,151674,0.8317054949308696,0.12350226136323109,0.3403885679956425,0.3529880895713604,0.4834786008775875,support
0.361590934270421,64,81.43013120791875,50,0.49905961862881276,151675,0.8213881541575704,0.18838523183023498,0.3817860772981175,0.2724911867836883,0.4722937781267668,support
0.27006096088553894,64,78.32951012498233,50,0.4292883412942499,151676,0.8261654200377287,0.11502889545093378,0.2944971686189802,0.3887588731011094,0.5145710981674111,support
0.3756541702425027,128,77.71446070901584,50,0.5037887834237281,151507,0.8657455968134331,0.18797366643911576,0.3372002799861685,0.35149429296332985,0.43912050906157746,support
0.3661606252152637,128,79.56230516696814,50,0.5045390460673642,151508,0.8749017034258161,0.22829802003180957,0.35649706253095603,0.33100463330316965,0.5144677425296025,support
0.4415046158268434,128,88.12861975003034,50,0.5462792685042499,151509,0.8710742608497017,0.03982013982413334,0.10790797315583994,0.3269788641779129,0.492745488423723,support
0.4694113755302054,128,83.91764462506399,50,0.5047300097935262,151510,0.8693389147520065,0.19218731609883555,0.34314852567626336,0.27388133763786077,0.453250147213749,support
0.35093164023107615,128,64.97912495804485,50,0.5000074683642522,151669,0.8658547833048064,-0.004998297580750911,0.05910750989285514,0.288444664459174,0.4095315245864227,support
0.35817044510072155,128,62.072299709077924,50,0.42812613235930064,151670,0.8656163854258401,-0.03916172627589539,0.016932831304963314,0.4030033912096878,0.4988770035140606,support
0.3341952628396592,128,73.70075870805886,50,0.46481041258656897,151671,0.8702763579785824,-0.024751087230402737,0.015045754105952098,0.11564977325360207,0.30860505315256737,support
0.3009145191110772,128,70.09151554107666,50,0.513304349406706,151672,0.8565092086791992,0.08928672762196388,0.18372439172640706,0.18271864036871735,0.3425479318949938,support
0.2691853902116514,128,88.12452979199588,50,0.4184207880926314,151673,0.8407579927608885,0.18396613860970462,0.3571138441047785,0.3030077205535594,0.48928423089558143,support
0.35286476354393026,128,82.66534779197536,50,0.46022738282046244,151674,0.8443260583384283,0.06259973913476717,0.1776184630921995,0.366333404517735,0.4535419639287459,support
0.35104567764263567,128,65.88796891702805,50,0.4825769212284714,151675,0.8360112905502319,0.20980195871813567,0.3967690158554685,0.3330791666452433,0.4471857241311199,support
0.2781547882371894,128,61.49694620806258,50,0.4342175476285495,151676,0.8408721111438893,0.17372442345408942,0.33366462073016767,0.2514900283461345,0.41172884065766235,support
